BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
"0   ",0,2011,3,26,Potato,MAHASAMUND,2,KHARIF,AGRICULTURE,CHHATTISGARH,"How to control of black scurf disease in potato vegetable crop","plsspray hexaconazole 5ec  25mlspyer",21.1923,82.489
"0   ",Vegetables,2012,12,27,Potato,JALANDHAR,75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",31.2922,75.5679
LUDHIANA-1,Vegetables,2012,12,29,Potato,LUDHIANA,75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",30.909,75.8516
"0   ",Vegetables,2012,12,26,Potato,BHATINDA,75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",30.2068,74.9464
NABHA,Vegetables,2012,12,25,Potato,PATIALA,75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",30.2093,76.3397
MANSA,Vegetables,2012,12,29,Potato,MANSA,75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",29.8764,75.489
"BASSI PATHANA",Vegetables,2012,12,29,Potato,"FATEHGARH SAHIB",0,nan,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",30.6634,76.3803
"NIHAL SINGH WALA",Vegetables,2012,12,20,Potato,MOGA,75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",30.7878,75.1594
"0   ",Vegetables,2012,12,25,Potato,"TARN TARAN",75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",31.3212,74.8417
"CHOHLA SAHIB-8",Vegetables,2012,12,28,Potato,"TARN TARAN",75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",31.3212,74.8417
DULDULA,Vegetables,2012,1,5,Potato,JASHPUR,75,KHARIF,HORTICULTURE,CHHATTISGARH,"How to control of black scurf in potato tuber crop","plsspray dithanem-45  1 1lier hec",22.7703,83.9708
BIAORA,Vegetables,2013,1,3,Potato,RAJGARH,75,KHARIF,HORTICULTURE,"MADHYA PRADESH","Black Scurf and Stem Canker OF POTATO","DEAR SIR SPREY CHLOROTHLONIL 75WP 30GM PER 15 LITER OF WATER",23.8717,76.7745
"0   ",Vegetables,2013,1,11,Potato,INDORE,75,KHARIF,HORTICULTURE,"MADHYA PRADESH","Black Scurf potato ","dip seed tubers carbandazim  10 gm  liter as seed treatment ",22.7204,75.8682
"0   ",Vegetables,2013,1,7,Potato,HOSHIARPUR,75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",31.6093,75.846
"0   ",Vegetables,2013,1,15,Potato,HOSHIARPUR,75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",31.6093,75.846
JAGRAON,Vegetables,2013,1,3,Potato,LUDHIANA,75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",30.909,75.8516
"0   ",Vegetables,2013,1,5,Potato,KAPURTHALA,75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",31.3856,75.3053
"0   ",Vegetables,2013,1,10,Potato,KAPURTHALA,75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",31.3856,75.3053
"0   ",Vegetables,2013,1,1,Potato,"SAHIBZADA AJIT SINGH NAGAR",75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",30.7041,76.7177
KOT-ISE-KHAN,Vegetables,2013,1,8,Potato,MOGA,75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",30.7878,75.1594
"0   ",Vegetables,2013,1,17,Potato,BARNALA,75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",30.3717,75.504
"TARN TARAN-12",Vegetables,2013,1,1,Potato,"TARN TARAN",75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",31.3212,74.8417
BALACHAUR,Vegetables,2013,1,10,Potato,"SHAHID BHAGAT SINGH NAGAR Nawanshahr",75,KHARIF,HORTICULTURE,PUNJAB,"information regarding to control of black scurf in potato","spray of mancozeb 200 gm 100 ltr water acre in potato",30.9293,75.5005
MADANPUR,Vegetables,2013,10,28,Potato,FIROZABAD,nan,nan,HORTICULTURE,"UTTAR PRADESH","black scurf on potato","seed should be treated aglaal-3  or carbendazim 50  WP with 020  solution of water dip in 8-10 minutes",27.1942,78.4605
DHAR,Vegetables,2014,1,8,Potato,DHAR,nan,KHARIF,HORTICULTURE,"MADHYA PRADESH","Black Scurf in potata control ","Carbendazim 1 30 gram per pump",22.5787,75.2259
LUDHIANA-1,Vegetables,2014,11,23,Potato,LUDHIANA,"Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",30.909,75.8516
LUDHIANA-1,Vegetables,2014,11,23,Potato,LUDHIANA,"Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",30.909,75.8516
SAMRALA,Vegetables,2014,12,14,Potato,LUDHIANA,"Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",30.909,75.8516
DINANAGAR,Vegetables,2014,12,28,Potato,GURDASPUR,"Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",31.9037,75.2276
"BHAGTA BHAIKA",Vegetables,2014,12,5,Potato,BHATINDA,"Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",30.2068,74.9464
KHARAR,Vegetables,2014,12,21,Potato,"SAHIBZADA AJIT SINGH NAGAR","Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",30.7041,76.7177
GANDIWIND-9,Vegetables,2014,11,30,Potato,"TARN TARAN","Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",31.3212,74.8417
TELAHI,Vegetables,2015,11,28,Potato,LAKHIMPUR,"Plant Protection",nan,HORTICULTURE,ASSAM,"asking about the control of black scurf of potato","suggest him to apply bavistin 2gmlt of water",27.1763,94.1993
BHOGPUR,Vegetables,2015,9,29,Potato,JALANDHAR,"Plant Protection",KHARIF,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",31.2922,75.5679
FAZILKA,Vegetables,2015,2,4,Potato,FEROZPUR,"Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",30.4426,74.0656
MALOUT,Vegetables,2015,2,7,Potato,MUKTSAR,"Plant Protection",RABI,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",30.4692,74.5182
GONDA,Vegetables,2015,10,23,Potato,ALIGARH,"Plant Protection",KHARIF,HORTICULTURE,"UTTAR PRADESH","Asking about black scurf in potato","black scurf that can be controlled by treating seed tubers with mercuric chloride solution for 15 hr with acidulated mercuric chloride solution for 5 min",27.8761,78.1358
ALIGANJ,Vegetables,2015,10,25,Potato,ETAH,"Plant Protection",RABI,HORTICULTURE,"UTTAR PRADESH","BLACK SCURF ","Treating the soil with pentachloroni trobenzene at the rate of 70 kg ha",27.555,78.5992
MOHAMDABAD,Vegetables,2015,9,13,Potato,FARRUKHABAD,"Plant Protection",KHARIF,HORTICULTURE,"UTTAR PRADESH","ASKING ABOUT BLACK SCURF IN POTATO ","BEFORE SOWING POTATO SHOULD BE TREATED WITH ARETAN 023  SOLUTION",27.4362,79.4895
HASWA,Vegetables,2015,8,29,Potato,FATEHPUR,"Plant Protection",KHARIF,HORTICULTURE,"UTTAR PRADESH","Black scurf disease in Potato","3  Boric acids se upcharit kar bij ko boyen",25.8348,80.9155
MURSAN,Vegetables,2015,11,4,Potato,HATHRAS,"Plant Protection",KHARIF,HORTICULTURE,"UTTAR PRADESH","PROBLEM OF BLACK SCURF  IN POTATO","USE Carbendazim 12  Mancozeb 63 WP 400 GRAMEKED",27.5724,78.1116
NARKHI,Vegetables,2015,7,18,Potato,FIROZABAD,"Plant Protection",KHARIF,HORTICULTURE,"UTTAR PRADESH","black scurf  ka control  bataye","aretan  03   ke ghol se aloo  ko upcharit kare",27.1942,78.4605
CHANCHAL-II,Vegetables,2015,1,15,Potato,MALDAH,"Plant Protection",RABI,HORTICULTURE,"WEST BENGAL","CONTROL OF BLACK SCURF IN POTATO","RECOMMENDED FOR SPRAY CARBENDAZIM 50 WP  1 GM   LIT OF WATER",25.0977,88.1262
BONAIGARH,Vegetables,2016,1,19,Potato,SUNDARGARH,"Plant Protection",nan,HORTICULTURE,ODISHA,"Black Scurf in harvested Potato","Advised to sale the producePotato immediately",22.0605,83.9359
SUDHAR,Vegetables,2016,11,1,Potato,LUDHIANA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",30.909,75.8516
"SIDHWAN BET",Vegetables,2016,11,1,Potato,LUDHIANA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",30.909,75.8516
AJNALA-1,Vegetables,2016,11,1,Potato,AMRITSAR,"Plant Protection",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",31.6357,74.8787
AJNALA-1,Vegetables,2016,11,1,Potato,AMRITSAR,"Plant Protection",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",31.6357,74.8787
AJNALA-1,Vegetables,2016,11,1,Potato,AMRITSAR,"Plant Protection",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",31.6357,74.8787
PATTI-14,Vegetables,2016,11,1,Potato,"TARN TARAN","Plant Protection",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROP","FOR THE CONTROL OF BLACK SCURF  COMMON SCAB DISEASE IN POTATPALOO CROPDISINFECT THE TUBER WITH 25 ML MONCEREN 250 SL PER LITRE OF WATER FOR TEN MINUTES",31.3212,74.8417
LODHA,Vegetables,2016,12,14,Potato,ALIGARH,"Plant Protection",RABI,HORTICULTURE,"UTTAR PRADESH","Black Scurf and Stem Canker in potato ","Carbendazim and Boric Acid 2mllitre ki dar se spray kare",27.8761,78.1358
BEWAR,Vegetables,2016,11,20,Potato,MAINPURI,"Plant Protection",RABI,HORTICULTURE,"UTTAR PRADESH","black scurf on potato","kisan bhai mancozeb 64  metalaxyle 8 ka 2 mllitr pani  straptocycline ka chhidkaw kare",27.2093,79.0625
BASREHAR,Vegetables,2016,1,17,Potato,ETAWAH,"Plant Protection",RABI,HORTICULTURE,"UTTAR PRADESH","black scurf in potato","to treatment for seed before sowing",26.7156,79.0917
AIRAYAN,Vegetables,2016,12,22,Potato,FATEHPUR,"Plant Protection",RABI,HORTICULTURE,"UTTAR PRADESH","Black scurf: Rhizoctonia solani","Treating the soil with pentachloroni trobenzene at the rate of 70 kg ha lowers the incidence of the disease but it is too expensive and cumbersomeWell sporulated tubrs may be planted shallow to control disease",25.8348,80.9155
TAJWAPUR,Vegetables,2016,10,16,Potato,BAHRAICH,"Agriculture Mechanization",RABI,HORTICULTURE,"UTTAR PRADESH","Black scurf in potato","Treating the soil with pentachloroni trobenzene at the rate of 70 kg ha lowers the incidence of the disease",27.7344,81.4765
"JAMAL PUR",Vegetables,2016,2,4,Potato,BARDDHAMAN,"Plant Protection",RABI,HORTICULTURE,"WEST BENGAL","CONTROL OF BLACK SCURF IN POTATO","RECOMMENDED FOR SPRAY  MANCOZEB  1 GM  CARBENDAZIM  1 GM  LITOF WATER",23.25,87.75
GHIROR,Vegetables,2017,10,23,Potato,MAINPURI,"Plant Protection",JAYAD,HORTICULTURE,"UTTAR PRADESH","aloo me Black scurf laga hai ","mercuric chloride se mitti ki ghule",27.2093,79.0625
UJHANI,Vegetables,2017,10,22,Potato,BADAUN,"Plant Protection",JAYAD,HORTICULTURE,"UTTAR PRADESH","allo me Black scurf laga hai","mercuric chloride solution ka prayog kare",28.0649,79.0438
SAHAR,Vegetables,2017,8,18,Potato,AURAIYA,"Plant Protection",KHARIF,HORTICULTURE,"UTTAR PRADESH","Black Scurf control in potato tuber ","kisan bhai aalo mein black scurf ki rokthaam ke liye aeglaal yaa aritaan ke ghol se upcharit karke buwai kare",26.6558,79.5161
"COOCH BEHAR II",Vegetables,2017,1,25,Potato,"Cooch BIHAR","Plant Protection",RABI,HORTICULTURE,"WEST BENGAL","CONTROL OF BLACK SCURF IN POTATO","RECOMMENDED FOR SPRAY VALIDAMYCIN 3  L 3 ML  LIT OF WATER",26.3224,89.4592
RAMPURHAT-I,Vegetables,2017,1,5,Potato,BIRBHUM,"Plant Protection",RABI,HORTICULTURE,"WEST BENGAL","ASKING ABOUT THE CONTROL OF BLACK SCURF OF POTATO","RECOMMENDED FOR SPRAY  PENCYCURON 229 SC    1 ML  LIT OF WATER",24.0622,87.6983
"GANJ MORADABAD",Vegetables,2018,12,23,Potato,UNNAO,"Plant Protection",0,HORTICULTURE,"UTTAR PRADESH","control for Black scurf in potato ","aalu me Boric Acid 2 gm litar pani ke sath jado ko tar kren",26.5673,80.6198
BEHTA,Vegetables,2018,10,24,Potato,SITAPUR,nan,0,HORTICULTURE,"UTTAR PRADESH","information for black scurf in potato crop","carbendazim 50 wp ki matraa- 225 gram  litar  daimethoat 30 ec ki matraa- 2 ml litar pani ke sath milaakar sprey kare",27.5027,80.8335
MASAULI,Vegetables,2018,12,24,Potato,BARABANKI,"Cultural Practices",0,HORTICULTURE,"UTTAR PRADESH","Black scurf in potato crop","Kisan bhai ap aloo ki fasal me Copper Oxychloride 50 WP  2 gramlitr ki dar se drench kare",26.9421,81.3856
SADABAD,Vegetables,2018,10,30,Potato,HATHRAS,nan,0,HORTICULTURE,"UTTAR PRADESH","Black scurf: Rhizoctonia solani IN POTATO","If there is a slight infection of black scurf that can be controlled by treating seed tubers with mercuric chloride solution for 15 hr with acidulated mercuric chloride solution for 5 min",27.5724,78.1116
MADANPUR,Vegetables,2018,10,20,Potato,FIROZABAD,nan,0,HORTICULTURE,"UTTAR PRADESH","TELL ME COMING BLACK SCURF DISEASE IN POTATO ","Disease free seed tubers alone should be planted land is left fallow for 2 years",27.1942,78.4605
AUSGRAM-II,Vegetables,2018,1,9,Potato,BARDDHAMAN,"Plant Protection",RABI,HORTICULTURE,"WEST BENGAL","WANT TO KNOW ABOUT BLACK SCURF DISEASE OF POTATO","ADVICE IN FUTURE  -SOIL TEST SEED TREATMENT USE OF ORGANIC MANURE",23.25,87.75
HAROLI,Vegetables,2019,5,17,Potato,UNA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding control of Black Scurf canker  in potato",nan,31.5835,76.2351
HAROLI,Vegetables,2019,9,8,Potato,UNA,"Plant Protection",nan,HORTICULTURE,"HIMACHAL PRADESH","Information regarding Black scurf in potato ",nan,31.5835,76.2351
TANDA,Vegetables,2019,10,15,Potato,HOSHIARPUR,"Cultural Practices",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,31.6093,75.846
HOSHIARPUR-I,Vegetables,2019,10,24,Potato,HOSHIARPUR,"Seeds and Planting Material",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,31.6093,75.846
HOSHIARPUR-I,Vegetables,2019,12,28,Potato,HOSHIARPUR,"Vegetative Propagation and Tissue Culture",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,31.6093,75.846
HOSHIARPUR-I,Vegetables,2019,12,31,Potato,HOSHIARPUR,"Cultural Practices",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop ",nan,31.6093,75.846
HOSHIARPUR-II,Vegetables,2019,12,31,Potato,HOSHIARPUR,"Seeds and Planting Material",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,31.6093,75.846
"JALANDHAR - WEST",Vegetables,2019,10,14,Potato,JALANDHAR,"Seeds and Planting Material",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,31.2922,75.5679
"JALANDHAR - WEST",Vegetables,2019,10,22,Potato,JALANDHAR,"Seeds and Planting Material",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,31.2922,75.5679
"JALANDHAR - WEST",Vegetables,2019,10,27,Potato,JALANDHAR,"Cultural Practices",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,31.2922,75.5679
SUDHAR,Vegetables,2019,10,15,Potato,LUDHIANA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,30.909,75.8516
MAMDOT,Vegetables,2019,10,21,Potato,FEROZPUR,"Cultural Practices",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,30.4426,74.0656
AJNALA-1,Vegetables,2019,10,9,Potato,AMRITSAR,"Plant Protection",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,31.6357,74.8787
SANGAT,Vegetables,2019,10,15,Potato,BHATINDA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,30.2068,74.9464
NATHANA,Vegetables,2019,10,17,Potato,BHATINDA,"Fertilizer Use and Availability",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,30.2068,74.9464
PHUL,Vegetables,2019,10,18,Potato,BHATINDA,"Cultural Practices",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,30.2068,74.9464
BATHINDA,Vegetables,2019,10,24,Potato,BHATINDA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,30.2068,74.9464
RAMPURA,Vegetables,2019,10,24,Potato,BHATINDA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,30.2068,74.9464
PHUL,Vegetables,2019,10,28,Potato,BHATINDA,"Cultural Practices",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,30.2068,74.9464
SANGAT,Vegetables,2019,10,29,Potato,BHATINDA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,30.2068,74.9464
PHUL,Vegetables,2019,10,31,Potato,BHATINDA,"Seeds and Planting Material",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,30.2068,74.9464
BATHINDA,Vegetables,2019,10,31,Potato,BHATINDA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,30.2068,74.9464
SANGAT,Vegetables,2019,12,2,Potato,BHATINDA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"Information regarding  control of black scurf in potato ",nan,30.2068,74.9464
NABHA,Vegetables,2019,10,10,Potato,PATIALA,"Seeds and Planting Material",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,30.2093,76.3397
"BHAWANI GARH",Vegetables,2019,10,9,Potato,SANGRUR,"Plant Protection",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,30.1357,75.8533
DHURI,Vegetables,2019,10,14,Potato,SANGRUR,"Plant Protection",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,30.1357,75.8533
LEHRAGAGA,Vegetables,2019,10,22,Potato,SANGRUR,"Seeds and Planting Material",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,30.1357,75.8533
SUNAM,Vegetables,2019,10,29,Potato,SANGRUR,"Plant Protection",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,30.1357,75.8533
BHIKHI,Vegetables,2019,10,19,Potato,MANSA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,29.8764,75.489
MANSA,Vegetables,2019,10,19,Potato,MANSA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,29.8764,75.489
KOT-ISE-KHAN,Vegetables,2019,10,8,Potato,MOGA,"Cultural Practices",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,30.7878,75.1594
MOGA-I,Vegetables,2019,10,15,Potato,MOGA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,30.7878,75.1594
MOGA-I,Vegetables,2019,10,19,Potato,MOGA,"Cultural Practices",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,30.7878,75.1594
KOT-ISE-KHAN,Vegetables,2019,10,22,Potato,MOGA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,30.7878,75.1594
"NIHAL SINGH WALA",Vegetables,2019,10,24,Potato,MOGA,"Cultural Practices",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,30.7878,75.1594
"NIHAL SINGH WALA",Vegetables,2019,10,29,Potato,MOGA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,30.7878,75.1594
"NIHAL SINGH WALA",Vegetables,2019,10,29,Potato,MOGA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,30.7878,75.1594
MOGA-II,Vegetables,2019,12,28,Potato,MOGA,"Plant Protection",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,30.7878,75.1594
MUKTSAR,Vegetables,2019,10,19,Potato,MUKTSAR,"Seeds and Planting Material",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,30.4692,74.5182
MUKTSAR,Vegetables,2019,10,19,Potato,MUKTSAR,"Plant Protection",nan,HORTICULTURE,PUNJAB,"INFORMATION REGARDING control OF black scurf IN POTATO ",nan,30.4692,74.5182
MUKTSAR,Vegetables,2019,10,21,Potato,MUKTSAR,"Cultural Practices",nan,HORTICULTURE,PUNJAB,"Information regarding seed treatment for control of black scurf in Potato crop",nan,30.4692,74.5182
